# B2 词表 - 高中进阶词汇(Oxford 5000 / Longman 5700 近似)
# B2 词表 = B1 词表 + 以下 B2 增量词
ability,absorb,abstract,abuse,academic,accept,access,accident,accompany,accomplish
stature,status,stay,steady,steal,steam,steep,steer,stem,step
stereotype,sterling,stern,stew,stick,stiff,still,stimulate,sting,stink
stipulate,stir,stitch,stock,stomach,stomp,stone,stool,stoop,stop
store,stormy,story,stove,straight,strain,strait,strand,strangle,strap
strawberry,street,strength,strenuous,stress,stretch,strict,stride,strike,string
strip,stripe,strive,stroke,stroll,strong,structure,struggle,strut,stubborn
student,study,stuff,stumble,stun,stunt,sturdy,style,subject,submerge
submit,subordinate,subscribe,subsidy,substance,substantial,substitute,subtitle,subtle,subtract
suburb,subway,succeed,success,successive,succinct,succumb,suck,sudden,sue
suffer,suffice,suffix,suffocate,sugar,suggest,suit,sulk,sum,summarize
summit,summon,superb,superficial,superintendent,superior,superman,supernatural,supervise,supplement
supply,support,suppose,suppress,supreme,surface,surge,surgeon,surpass,surplus
surprise,surrender,surround,survey,survive,suspect,suspend,suspicion,sustain,swallow
swamp,swap,swarm,sway,swear,sweat,sweep,swell,swift,swim
swing,switch,symbol,sympathize,symphony,symptom,synthesis,synthetic,syrup,system,
table,tackle,tactic,tail,takeover,talent,talk,tame,tangle,tank
tap,tape,target,tariff,task,taste,tax,teach,team,tear
tease,technical,technique,technology,teenager,telescope,televise,temper,temple,temporary
tender,tense,tension,term,terminate,terrace,terrain,terrible,terrific,terror
terrorist,testify,testimony,textile,theater,theft,theme,therapy,thereby,thermometer
thesis,thief,thigh,thorough,thought,thread,threat,threshold,thrill,thrive
throat,throne,throng,throttle,throw,thrust,thumb,thump,thunder,tide
tidy,timeout,timber,time,timid,tip,tire,tissue,title,tobacco
tolerance,tolerate,tomb,tonic,topic,torrent,torture,toss,total,touch
tough,tour,tournament,tow,tower,toxic,trace,track,trade,trademark
tradition,tragedy,trail,train,trait,traitor,tramp,transaction,transfer,transform
transit,transition,translate,transmit,transparent,transplant,transport,trap,trash,travel
tray,treacherous,tread,treaty,tremble,tremendous,trench,trend,trial,tribute
trick,trifle,trigger,trim,trip,triumph,troop,trophy,trouble,trousers
trumpet,trunk,trust,truthful,try,tub,tube,tuck,tug,tuition
tumble,tumor,tuna,tune,tunnel,turban,turf,turnover,turquoise,turret
tutor,twig,twilight,twinkle,twist,tycoon,tyrant,ultimate,umpire,unable
unanimous,unaware,uncle,uncomfortable,unconscious,uncover,undergo,undergraduate,underlying,undermine
underneath,undertake,uneasy,unemployed,unequal,unexpected,unfair,unfold,unfortunate,unhappy
uniform,unify,union,unique,unit,unite,unity,universal,unjust,unknown
unlawful,unlike,unload,unlock,unlucky,unnecessary,unpaid,unpleasant,unprecedented,unreasonable
unrelated,unrest,unstable,unsuccessful,until,unusual,unveil,update,upgrade,uphold
upon,upper,upright,uprising,uproar,upset,urban,urge,urgent,usage
useless,usher,usual,utilize,utmost,utter,vacant,vacate,vaccine,vacuum
vague,vain,valid,valley,valor,valuable,value,vanish,vanquish,vapor
variable,variation,variety,varnish,vary,vast,vegetable,vehicle,velvet,vendor
venture,verbal,verdict,verge,verify,verse,version,vessel,vet,veteran
veto,vex,vibrant,vice,victim,victor,victory,video,view,village
violate,violent,violet,virtual,virtue,virus,visa,visible,visitor,vista
visual,vital,vivid,vocabulary,vocal,vocation,vogue,voice,void,volcano
volume,voluntary,vomit,vote,voucher,vow,voyage,vulnerable,wage,wager
wagon,waist,waitress,waive,wallet,walnut,wander,wane,ward,warmth
warn,warrant,warrior,wary,wash,wasp,waste,watchful,waterfall,watermark
waterway,wave,wax,weaken,wealth,weapon,weary,weather,weave,wedge
weed,weekday,weekly,weep,weigh,weight,weird,welcome,welfare,well-known
west,whale,whatsoever,wheat,wheelchair,whenever,whereas,whereby,whereupon,whim
whip,whirl,whisper,whistle,wholly,wicked,wide,widow,width,wield
wilderness,willful,willing,wilt,wince,wind,window,wine,wingspan,wink
winner,winter,wipe,wire,wisdom,withdraw,wither,withhold,withstand,witness
witty,wizard,wobble,woe,wonder,worship,worst,worthwhile,wrap,wreath
wreck,wrench,wrestle,wretched,wriggle,wrinkle,wrist,yacht,yam,yardstick
yearn,yell,yellow,yelp,yes,yield,yoga,youngster,youth,zest,zigzag,
zone,zoom
